Series ID,Year,Period,Label,Value
LASST270000000000003,2010,M01,2010 Jan,7.7
LASST270000000000003,2010,M02,2010 Feb,7.7
LASST270000000000003,2010,M03,2010 Mar,7.6
LASST270000000000003,2010,M04,2010 Apr,7.5
LASST270000000000003,2010,M05,2010 May,7.4
LASST270000000000003,2010,M06,2010 Jun,7.3
LASST270000000000003,2010,M07,2010 Jul,7.3
LASST270000000000003,2010,M08,2010 Aug,7.3
LASST270000000000003,2010,M09,2010 Sep,7.3
LASST270000000000003,2010,M10,2010 Oct,7.3
LASST270000000000003,2010,M11,2010 Nov,7.2
LASST270000000000003,2010,M12,2010 Dec,7.1
LASST270000000000003,2011,M01,2011 Jan,6.9
LASST270000000000003,2011,M02,2011 Feb,6.8
LASST270000000000003,2011,M03,2011 Mar,6.7
LASST270000000000003,2011,M04,2011 Apr,6.7
LASST270000000000003,2011,M05,2011 May,6.7
LASST270000000000003,2011,M06,2011 Jun,6.7
LASST270000000000003,2011,M07,2011 Jul,6.6
LASST270000000000003,2011,M08,2011 Aug,6.5
LASST270000000000003,2011,M09,2011 Sep,6.3
LASST270000000000003,2011,M10,2011 Oct,6.1
LASST270000000000003,2011,M11,2011 Nov,6
LASST270000000000003,2011,M12,2011 Dec,5.9
LASST270000000000003,2012,M01,2012 Jan,5.8
LASST270000000000003,2012,M02,2012 Feb,5.7
LASST270000000000003,2012,M03,2012 Mar,5.7
LASST270000000000003,2012,M04,2012 Apr,5.7
LASST270000000000003,2012,M05,2012 May,5.6
LASST270000000000003,2012,M06,2012 Jun,5.6
LASST270000000000003,2012,M07,2012 Jul,5.6
LASST270000000000003,2012,M08,2012 Aug,5.6
LASST270000000000003,2012,M09,2012 Sep,5.6
LASST270000000000003,2012,M10,2012 Oct,5.5
LASST270000000000003,2012,M11,2012 Nov,5.5
LASST270000000000003,2012,M12,2012 Dec,5.4
LASST270000000000003,2013,M01,2013 Jan,5.3
LASST270000000000003,2013,M02,2013 Feb,5.2
LASST270000000000003,2013,M03,2013 Mar,5.2
LASST270000000000003,2013,M04,2013 Apr,5.1
LASST270000000000003,2013,M05,2013 May,5
LASST270000000000003,2013,M06,2013 Jun,5
LASST270000000000003,2013,M07,2013 Jul,4.9
LASST270000000000003,2013,M08,2013 Aug,4.9
LASST270000000000003,2013,M09,2013 Sep,4.8
LASST270000000000003,2013,M10,2013 Oct,4.7
LASST270000000000003,2013,M11,2013 Nov,4.7
LASST270000000000003,2013,M12,2013 Dec,4.7
LASST270000000000003,2014,M01,2014 Jan,4.6
LASST270000000000003,2014,M02,2014 Feb,4.6
LASST270000000000003,2014,M03,2014 Mar,4.5
LASST270000000000003,2014,M04,2014 Apr,4.4
LASST270000000000003,2014,M05,2014 May,4.3
LASST270000000000003,2014,M06,2014 Jun,4.1
LASST270000000000003,2014,M07,2014 Jul,4
LASST270000000000003,2014,M08,2014 Aug,4
LASST270000000000003,2014,M09,2014 Sep,3.9
LASST270000000000003,2014,M10,2014 Oct,3.9
LASST270000000000003,2014,M11,2014 Nov,3.8
LASST270000000000003,2014,M12,2014 Dec,3.8
LASST270000000000003,2015,M01,2015 Jan,3.8
LASST270000000000003,2015,M02,2015 Feb,3.7
LASST270000000000003,2015,M03,2015 Mar,3.7
LASST270000000000003,2015,M04,2015 Apr,3.7
LASST270000000000003,2015,M05,2015 May,3.7
LASST270000000000003,2015,M06,2015 Jun,3.7
LASST270000000000003,2015,M07,2015 Jul,3.7
LASST270000000000003,2015,M08,2015 Aug,3.6
LASST270000000000003,2015,M09,2015 Sep,3.6
LASST270000000000003,2015,M10,2015 Oct,3.6
LASST270000000000003,2015,M11,2015 Nov,3.6
LASST270000000000003,2015,M12,2015 Dec,3.7
LASST270000000000003,2016,M01,2016 Jan,3.7
LASST270000000000003,2016,M02,2016 Feb,3.7
LASST270000000000003,2016,M03,2016 Mar,3.7
LASST270000000000003,2016,M04,2016 Apr,3.8
LASST270000000000003,2016,M05,2016 May,3.8
LASST270000000000003,2016,M06,2016 Jun,3.9
LASST270000000000003,2016,M07,2016 Jul,3.9
LASST270000000000003,2016,M08,2016 Aug,4
LASST270000000000003,2016,M09,2016 Sep,4
LASST270000000000003,2016,M10,2016 Oct,4
LASST270000000000003,2016,M11,2016 Nov,4
LASST270000000000003,2016,M12,2016 Dec,3.9
LASST270000000000003,2017,M01,2017 Jan,3.8
LASST270000000000003,2017,M02,2017 Feb,3.7
LASST270000000000003,2017,M03,2017 Mar,3.6
LASST270000000000003,2017,M04,2017 Apr,3.5
LASST270000000000003,2017,M05,2017 May,3.5
LASST270000000000003,2017,M06,2017 Jun,3.4
LASST270000000000003,2017,M07,2017 Jul,3.4
LASST270000000000003,2017,M08,2017 Aug,3.3
LASST270000000000003,2017,M09,2017 Sep,3.3
LASST270000000000003,2017,M10,2017 Oct,3.2
LASST270000000000003,2017,M11,2017 Nov,3.1
LASST270000000000003,2017,M12,2017 Dec,3.1
LASST270000000000003,2018,M01,2018 Jan,3.1
LASST270000000000003,2018,M02,2018 Feb,3.1
LASST270000000000003,2018,M03,2018 Mar,3
LASST270000000000003,2018,M04,2018 Apr,3
LASST270000000000003,2018,M05,2018 May,2.9
LASST270000000000003,2018,M06,2018 Jun,2.8
LASST270000000000003,2018,M07,2018 Jul,2.8
LASST270000000000003,2018,M08,2018 Aug,2.8
LASST270000000000003,2018,M09,2018 Sep,2.8
LASST270000000000003,2018,M10,2018 Oct,2.8
LASST270000000000003,2018,M11,2018 Nov,2.9
LASST270000000000003,2018,M12,2018 Dec,2.9
LASST270000000000003,2019,M01,2019 Jan,3
LASST270000000000003,2019,M02,2019 Feb,3.1
LASST270000000000003,2019,M03,2019 Mar,3.2
LASST270000000000003,2019,M04,2019 Apr,3.3
LASST270000000000003,2019,M05,2019 May,3.3
LASST270000000000003,2019,M06,2019 Jun,3.3
LASST270000000000003,2019,M07,2019 Jul,3.4
LASST270000000000003,2019,M08,2019 Aug,3.3
LASST270000000000003,2019,M09,2019 Sep,3.2
