Series ID,Year,Period,Label,Value,1-Month % Change
SMS27334600000000001,2010,M01,2010 Jan,1746,0.3
SMS27334600000000001,2010,M02,2010 Feb,1734.5,-0.7
SMS27334600000000001,2010,M03,2010 Mar,1738.3,0.2
SMS27334600000000001,2010,M04,2010 Apr,1743,0.3
SMS27334600000000001,2010,M05,2010 May,1746.4,0.2
SMS27334600000000001,2010,M06,2010 Jun,1748.2,0.1
SMS27334600000000001,2010,M07,2010 Jul,1750.2,0.1
SMS27334600000000001,2010,M08,2010 Aug,1751.8,0.1
SMS27334600000000001,2010,M09,2010 Sep,1743.1,-0.5
SMS27334600000000001,2010,M10,2010 Oct,1759.1,0.9
SMS27334600000000001,2010,M11,2010 Nov,1762.5,0.2
SMS27334600000000001,2010,M12,2010 Dec,1765,0.1
SMS27334600000000001,2011,M01,2011 Jan,1769.3,0.2
SMS27334600000000001,2011,M02,2011 Feb,1773.8,0.3
SMS27334600000000001,2011,M03,2011 Mar,1778.3,0.3
SMS27334600000000001,2011,M04,2011 Apr,1780.3,0.1
SMS27334600000000001,2011,M05,2011 May,1784.5,0.2
SMS27334600000000001,2011,M06,2011 Jun,1788,0.2
SMS27334600000000001,2011,M07,2011 Jul,1786.9,-0.1
SMS27334600000000001,2011,M08,2011 Aug,1795.6,0.5
SMS27334600000000001,2011,M09,2011 Sep,1799.4,0.2
SMS27334600000000001,2011,M10,2011 Oct,1802.6,0.2
SMS27334600000000001,2011,M11,2011 Nov,1805.2,0.1
SMS27334600000000001,2011,M12,2011 Dec,1810.1,0.3
SMS27334600000000001,2012,M01,2012 Jan,1805.7,-0.2
SMS27334600000000001,2012,M02,2012 Feb,1802.8,-0.2
SMS27334600000000001,2012,M03,2012 Mar,1819.8,0.9
SMS27334600000000001,2012,M04,2012 Apr,1820.5,0
SMS27334600000000001,2012,M05,2012 May,1813.9,-0.4
SMS27334600000000001,2012,M06,2012 Jun,1819.9,0.3
SMS27334600000000001,2012,M07,2012 Jul,1820.9,0.1
SMS27334600000000001,2012,M08,2012 Aug,1822.8,0.1
SMS27334600000000001,2012,M09,2012 Sep,1832.2,0.5
SMS27334600000000001,2012,M10,2012 Oct,1832,0
SMS27334600000000001,2012,M11,2012 Nov,1834.9,0.2
SMS27334600000000001,2012,M12,2012 Dec,1836,0.1
SMS27334600000000001,2013,M01,2013 Jan,1840.5,0.2
SMS27334600000000001,2013,M02,2013 Feb,1843.6,0.2
SMS27334600000000001,2013,M03,2013 Mar,1855.2,0.6
SMS27334600000000001,2013,M04,2013 Apr,1850.7,-0.2
SMS27334600000000001,2013,M05,2013 May,1852.3,0.1
SMS27334600000000001,2013,M06,2013 Jun,1854,0.1
SMS27334600000000001,2013,M07,2013 Jul,1856.8,0.2
SMS27334600000000001,2013,M08,2013 Aug,1861.9,0.3
SMS27334600000000001,2013,M09,2013 Sep,1873.9,0.6
SMS27334600000000001,2013,M10,2013 Oct,1874.5,0
SMS27334600000000001,2013,M11,2013 Nov,1874.8,0
SMS27334600000000001,2013,M12,2013 Dec,1877.5,0.1
SMS27334600000000001,2014,M01,2014 Jan,1879.1,0.1
SMS27334600000000001,2014,M02,2014 Feb,1879.9,0
SMS27334600000000001,2014,M03,2014 Mar,1881.1,0.1
SMS27334600000000001,2014,M04,2014 Apr,1884.3,0.2
SMS27334600000000001,2014,M05,2014 May,1887.3,0.2
SMS27334600000000001,2014,M06,2014 Jun,1891.1,0.2
SMS27334600000000001,2014,M07,2014 Jul,1902.4,0.6
SMS27334600000000001,2014,M08,2014 Aug,1902.1,0
SMS27334600000000001,2014,M09,2014 Sep,1902.5,0
SMS27334600000000001,2014,M10,2014 Oct,1902.7,0
SMS27334600000000001,2014,M11,2014 Nov,1906.2,0.2
SMS27334600000000001,2014,M12,2014 Dec,1909.6,0.2
SMS27334600000000001,2015,M01,2015 Jan,1911.2,0.1
SMS27334600000000001,2015,M02,2015 Feb,1914.4,0.2
SMS27334600000000001,2015,M03,2015 Mar,1918.7,0.2
SMS27334600000000001,2015,M04,2015 Apr,1917.7,-0.1
SMS27334600000000001,2015,M05,2015 May,1929.4,0.6
SMS27334600000000001,2015,M06,2015 Jun,1929.4,0
SMS27334600000000001,2015,M07,2015 Jul,1929.7,0
SMS27334600000000001,2015,M08,2015 Aug,1932.5,0.1
SMS27334600000000001,2015,M09,2015 Sep,1935,0.1
SMS27334600000000001,2015,M10,2015 Oct,1938.4,0.2
SMS27334600000000001,2015,M11,2015 Nov,1939.8,0.1
SMS27334600000000001,2015,M12,2015 Dec,1942.4,0.1
SMS27334600000000001,2016,M01,2016 Jan,1944.1,0.1
SMS27334600000000001,2016,M02,2016 Feb,1947.6,0.2
SMS27334600000000001,2016,M03,2016 Mar,1948.7,0.1
SMS27334600000000001,2016,M04,2016 Apr,1952.6,0.2
SMS27334600000000001,2016,M05,2016 May,1955.6,0.2
SMS27334600000000001,2016,M06,2016 Jun,1954.1,-0.1
SMS27334600000000001,2016,M07,2016 Jul,1970.1,0.8
SMS27334600000000001,2016,M08,2016 Aug,1969.7,0
SMS27334600000000001,2016,M09,2016 Sep,1970,0
SMS27334600000000001,2016,M10,2016 Oct,1969.9,0
SMS27334600000000001,2016,M11,2016 Nov,1971.6,0.1
SMS27334600000000001,2016,M12,2016 Dec,1972.2,0
SMS27334600000000001,2017,M01,2017 Jan,1974.8,0.1
SMS27334600000000001,2017,M02,2017 Feb,1977.2,0.1
SMS27334600000000001,2017,M03,2017 Mar,1991.7,0.7
SMS27334600000000001,2017,M04,2017 Apr,1991.4,0
SMS27334600000000001,2017,M05,2017 May,1986.2,-0.3
SMS27334600000000001,2017,M06,2017 Jun,1994.8,0.4
SMS27334600000000001,2017,M07,2017 Jul,1994,0
SMS27334600000000001,2017,M08,2017 Aug,1992.9,-0.1
SMS27334600000000001,2017,M09,2017 Sep,1994.6,0.1
SMS27334600000000001,2017,M10,2017 Oct,1996.3,0.1
